71nl 1ds 200gp 10sm	תקינו ליה רבנן
21nl 1ds 060gp 10sm	למה לי٠ חד למעוטי "מנותר"٠ וחד למעוטי "ממעילה"٠ וחד למעוטי "מטומאה"٠
41nl 1ds 060gp 10sm	"אבל פיגול" לא איצטריך קרא٠
50nl 2ds 060gp 10sm	וכת׳ "אחת"٠ חד למעוטי "דברים ٠٠٠"
60nl 2ds 060gp 10sm	וחד למעוטי "בגדי זהב"٠ ור׳ נחמיה٠ חד למעוטי "בגדי זהב"٠
70nl 2ds 060gp 10sm	וחד למעוטי "שירין שאין מעכבין"٠ "שירין מעכבין" קשיא٠ ור׳
80nl 2ds 060gp 10sm	יהודה "שירים" לא צריך קרא٠ אי מעכבי מעכבי٠ אי לא מעכבי לא
90nl 2ds 060gp 10sm	מעכבי٠ {{מהאי קרא נפקא}}٠
22nl 2ds 060gp 10sm	כי כתיבא "חקה ٠٠٠"
32nl 2ds 060gp 10sm	הוא דכתיבא٠
72nl 2ds 060gp 10sm	האי תנא "בפר"
10nl 1ds 160gp 10sm	קא מיירי٠ "בקטרת" לא קא מיירי٠
50nl 1ds 160gp 10sm	תרגמה עולא "במתנות שבהיכל"٠
54nl 1ds 160gp 10sm	"והנותרת" הכי נמי דלא מעכבא٠ שאני הכא٠ תרי קראי٠
40nl 2ds 160gp 10sm	הכא נמי מייתי ומתחיל٠
11nl 2ds 160gp 10sm	נימא٠ תיהוי תיובתיה דרב חסדא٠
21nl 2ds 160gp 10sm	ותני תנא אין٠
10nl 1ds 260gp 10sm	הכי השתא٠
80nl 1ds 260gp 10sm	הי ר׳ יוסי٠
41nl 1ds 260gp 10sm	דילמא שני התם٠ דבעידנא דאיתחזאי "ראשונה"٠ לא הואי "שניה"٠
50nl 2ds 260gp 10sm	טעמא דרבי רחמנא "השעיר"٠ הא לאו הכי הוה
60nl 2ds 260gp 10sm	אמנא מעכבי٠ ועיכובא מהיכא תיתי٠ סלק׳
70nl 2ds 260gp 10sm	דעתא אמינא٠ "שני" "שני" כת׳٠ קא משמע לן٠ אלא השתא
80nl 2ds 260gp 10sm	"שני" "שני" למה לי٠ חד "למראה"٠
90nl 2ds 260gp 10sm	וחד "לקומה"٠ וחד "לדמין"٠
41nl 2ds 260gp 10sm	הא לאו הכי
51nl 2ds 260gp 10sm	הוה אמנא מעכבי٠ ועיכובא מהיכא٠
32nl 2ds 260gp 10sm	טעמא דרבי רחמנא "הצפור" "הצפור"٠ הא לאו הכי הוה אמינא מעכבי٠
42nl 2ds 260gp 10sm	ועיכובא מהיכא תיתי٠ סלקא דעתא אמינא
52nl 2ds 260gp 10sm	"זאת תהיה" כת׳٠ אלא השתא "זאת תהיה"
62nl 2ds 260gp 10sm	למה לי٠ אי הכי גבי "תמידין" נמי٠
13nl 2ds 260gp 10sm	ההוא מיבעי לי לכדתניא ٠٠٠
14nl 2ds 260gp 10sm	למאי חזו٠
41nl 1ds 360gp 10sm	אמרתה לשמעתא קמי דר׳ ירמיה٠
61nl 1ds 360gp 10sm	אמאי "פטור"٠ הא עקריה٠
71nl 1ds 360gp 10sm	רב אשי מתני "חיב"٠ לרב ירמיה מדפתי מתני "פטור"٠ התם כמה דלא עקריה "לשמו" קאי٠
41nl 2ds 360gp 10sm	הכא מענינא דקרא והכא מענינא דקרא٠
71nl 2ds 360gp 10sm	הא לאו הכי אמנא٠
91nl 2ds 360gp 10sm	הא מני٠ חנן "המצרי" היא٠
12nl 2ds 360gp 10sm	אימר דשמעת
22nl 2ds 360gp 10sm	ליה לחנן "המצרי" דלית ליה "דחוין הגרלה"٠
32nl 2ds 360gp 10sm	מי שמעת דלא בעי٠ דילמא מייתי "ומגריל"٠
72nl 2ds 360gp 10sm	ומנא לן דפסיל
82nl 2ds 360gp 10sm	ביה מומא٠
13nl 2ds 360gp 10sm	איצטריך למכתב "מחוסר זמן"
23nl 2ds 360gp 10sm	ואיצטריך למכתב "בעל מום"٠ דאי כתב
33nl 2ds 360gp 10sm	רחמנא "מחוסר זמן" משום דלא חזי٠ "אבל בעל מום" דחזי٠
43nl 2ds 360gp 10sm	אימא לא٠ ואי
53nl 2ds 360gp 10sm	כתב רחמנא "בעל מום" משום דמאיס٠ "אבל מחוסר זמן"
63nl 2ds 360gp 10sm	דלא מאיס٠ אימא לא٠ צריכי٠
40nl 1ds 460gp 10sm	אמרי במערבא٠
21nl 1ds 460gp 10sm	מאי טעמיה דרב٠ מידי דהוה "מחוסר זמן"٠
31nl 1ds 460gp 10sm	לאו אף על גב דהאידנא לא חזי למחר חזי٠
41nl 1ds 460gp 10sm	האי נמי לא שנא٠ מי דמי٠
51nl 1ds 460gp 10sm	התם לא איחזי כלל٠ האי "נראה ונדחה" הוא٠ אלא מידי דהוה "אבעל מום עובר"
71nl 1ds 460gp 10sm	לאו אף על גב דהאידנא לא חזי
81nl 1ds 460gp 10sm	למחר חזי٠ האי נמי לא שנא٠
12nl 1ds 460gp 10sm	"אבל שאר דחויין" אחריני אף על גב דהדור איחזו לא٠ ואידך٠ האי "בהם" בעיניהו הוא
42nl 1ds 460gp 10sm	דלא מרצו٠ הא "על ידי תערובת" מרצו٠
03nl 1ds 460gp 10sm	נפקא ליה "מבם בהם"٠ ואידך٠ "בם בהם" לא דרשי٠
13nl 1ds 460gp 10sm	אי בעי "בראשון" ניכפר או "בשני" ניכפר٠
63nl 1ds 460gp 10sm	ודילמא שני התם٠ דבעידן דאיתחזאי "ראשונה" לא איתחזי "שניה"٠
20nl 2ds 460gp 10sm	דיקא מתניתין כותיה דרב٠ בריתא כותיה
30nl 2ds 460gp 10sm	דר׳ יוחנן٠ דיקא מתניתין כותיה דרב٠ דקתני "אם של עזאזאל ٠٠٠"
40nl 2ds 460gp 10sm	מכלל דקמא
50nl 2ds 460gp 10sm	כדקאי קאי٠ בריתא כותיה דר׳
60nl 2ds 460gp 10sm	יוחנן٠ דתניא "שני" ٠٠٠ מאי תלמודא٠
51nl 2ds 460gp 10sm	אליבא דר׳ יהודה לא קאמינא٠ כי קאמינא אנא
61nl 2ds 460gp 10sm	אליבא דרבנן٠ בשלמא לרב הינו דאיכא בין
71nl 2ds 460gp 10sm	ר׳ יהודה לרבנן٠ אלא לר׳ יוחנן מאי איכא בין ר׳ יהודה לרבנן٠ הא אמ׳
81nl 2ds 460gp 10sm	רבא٠ דיקא מתניתין כותיה דרב٠
60nl 1ds 560gp 10sm	הינו דקאמ׳ תנא קמא "ירעה"٠
21nl 1ds 560gp 10sm	לר׳ יהודה במאי מיכפר٠ מי סברת٠ ר׳
31nl 1ds 560gp 10sm	יהודה "אשני שבזוג שני" קאי٠
41nl 1ds 560gp 10sm	דקאמ׳ תנא קמא "ירעה"٠ ואיכא דמותיב הכי
61nl 1ds 560gp 10sm	בשלמא
71nl 1ds 560gp 10sm	לרב איפליגו ברישא "בחטאת צבור"٠ וקא מיפלגי בסופה "בדחוין"٠
02nl 1ds 560gp 10sm	בשלמא "נשפך הדם ימות המשתלח"٠
12nl 1ds 560gp 10sm	דלא איתעבידא "מצותו"٠
22nl 1ds 560gp 10sm	אלא "מת המשתלח"٠ אמאי "ישפך הדם"٠ ניזרקיה "לדם"٠ והאי האיתעבידא לה "מצותו"٠
53nl 1ds 560gp 10sm	אותיביה אביי٠
14nl 1ds 560gp 10sm	ואמאי٠ נישהינהו ונקרבינהו "לשנה הבאה"٠
80nl 2ds 560gp 10sm	"שעיר" גופיה "מצוה" בעלמא הוא٠
31nl 2ds 560gp 10sm	וניתי "ונגריל"٠
41nl 2ds 560gp 10sm	תינח "שעיר"٠ "פר" מאי איכא
51nl 2ds 560gp 10sm	למימר٠
61nl 2ds 560gp 10sm	אמרוה רבנן קמיה דאביי٠
71nl 2ds 560gp 10sm	הא תינח "פר"٠ "שעיר" מאי
81nl 2ds 560gp 10sm	איכא למימר٠ "גזירה שעיר" אטו "פר"٠
02nl 2ds 560gp 10sm	גופיה "חטאת שעברה שנתה" היא٠
30nl 1ds 660gp 10sm	"חטאת שעברה שנתה" גופה "לרעיה"
40nl 1ds 660gp 10sm	אזלא٠
70nl 1ds 660gp 10sm	ומנא תימרה דחישי׳ "לתקלה"٠
61nl 1ds 660gp 10sm	והנך דלאו בני "הקרבה" נינהו לא טריד בהו٠ ^הא^
71nl 1ds 660gp 10sm	^דבת "הקרבה" היא טריד בה^٠
81nl 1ds 660gp 10sm	תנאי היא٠ דתני חדא ٠٠٠
02nl 1ds 660gp 10sm	אידי ואידי רבי "ובתקלה" קא מיפלגי٠ לא٠
22nl 1ds 660gp 10sm	הא רבי והא רבנן٠ והא תניא "מעות"٠
32nl 1ds 660gp 10sm	אלא לאו שמע
42nl 1ds 660gp 10sm	מינה٠ אידי ואידי רבי "ובתקלה" קא מיפלגי٠ שמע מינה٠
64nl 1ds 660gp 10sm	"כהנים" מי נפוק "מכלל עמך ישראל"٠
93nl 2ds 660gp 10sm	יתיב רבינא וקאמ׳ לה להא שמעתא٠ אותיבוה בני פפי בר אבא לרבינא٠
54nl 2ds 660gp 10sm	מאשי צפירא זעיר٠ חוביה דדרא סגיאין٠
32nl 1ds 760gp 10sm	אלא למה לי למימרא ליה הכי٠
52nl 1ds 760gp 10sm	וניקטריה
62nl 1ds 760gp 10sm	כוליה "בסלע"٠ דילמא קדים
72nl 1ds 760gp 10sm	"מלבין" ההוא "דבין קרניו" ברישא וחזי ליה ומיתבא דעתיה٠ וניקטריה לכוליה "בין קרניו"
82nl 1ds 760gp 10sm	זימנין ד^גמיש ר^ישיה ולא חזי ליה٠
30nl 2ds 760gp 10sm	ההוא מיבעי לי לכדתניא٠
13nl 1ds 860gp 10sm	ורבנן היכא שריף להו٠
30nl 2ds 860gp 10sm	מאן תנא דפליג עליה דר׳ יוסי "הגלילי"٠
31nl 2ds 860gp 10sm	מאי ביניהו٠
12nl 2ds 860gp 10sm	איכא ביניהו דשוייה חרוכא٠ בית הרירי "במדבר" הוה קימא٠
73nl 2ds 860gp 10sm	דאיבעיא להו
93nl 2ds 860gp 10sm	הא מיכל אכלי٠ שני "אכילה דכפרה" כתיבה בה٠
04nl 2ds 860gp 10sm	"שינה" הוא דלא٠ הא "הילוך" שרי٠ "הוא הדין" דאפלו "הילוך" נמי אסיר٠ והאי דקתני ٠٠٠
10nl 1ds 960gp 10sm	משום דקא בעי למיתנא סופה٠
50nl 1ds 960gp 10sm	והא קא מיתהנ֗ו֗ מיניהו٠
51nl 1ds 960gp 10sm	וכי תימא "כלאים בלבישה והעלאה"
61nl 1ds 960gp 10sm	הוא דאסיר٠ הא למימך תותיה שפיר דמי٠ מדרבנן מיסר אסיר٠
91nl 1ds 960gp 10sm	וכי תימא דמפסיק
02nl 1ds 960gp 10sm	מידי ביני וביני٠
42nl 1ds 960gp 10sm	האי {{ח}}<נ>מטא גמדא דנרש
52nl 1ds 960gp 10sm	שריא٠
72nl 1ds 960gp 10sm	"בעשרין וחד ביה "יום "הר" גרזים" די לא למספד٠"
71nl 2ds 960gp 10sm	בייא בייא מיצרא "דעבודה זרה"٠ לאו הינו האי דאחרביה לביתא٠ וקלייה להיכלא٠ וקטלינהו
81nl 2ds 960gp 10sm	לצדיקי٠ ואגלינהו לישראל מארעהון٠ כלום יהבתיה ניהלן אלא
91nl 2ds 960gp 10sm	לקבולי ביה אגרא٠ לא איהו בעינן ולא אגריה בעינן٠ איתיבו תעניתא תלתא יומי ובעו רחמי٠ נפל להו פיתקא
02nl 2ds 960gp 10sm	מרקיעא דכת׳ ביה "אמת"٠
22nl 2ds 960gp 10sm	נפק אתא כי גוריא דנורא "מבית קדש הקדשים"٠ אמ׳ להו
32nl 2ds 960gp 10sm	נביא٠ הינו האי٠ דכת׳ "ויאמר זאת הרשעה"٠
42nl 2ds 960gp 10sm	בהדי דקא תפסי ליה אישתמיט בינתא מיניה٠ רמא קלא٠ אזל קליה בארבע
52nl 2ds 960gp 10sm	מאה פרסי٠ אמרי٠ היכי נעביד٠ ניקטליה٠ רמי קלא ומחריב ליה לעלמא٠
62nl 2ds 960gp 10sm	אמ׳ להו נביא٠ שדיוה בדודא וכסיוה באברא٠ דאברא
72nl 2ds 960gp 10sm	שייב קלא٠ ואוקידו נורא מתתאי וקליוה٠ אמרי "הואיל ועת רצון" היא
82nl 2ds 960gp 10sm	ניבעי
92nl 2ds 960gp 10sm	רחמי איצרא "דעבירה"٠ אימסר בידיהו٠ הרזקוה
03nl 2ds 960gp 10sm	תלתה יומי٠ איבעאי ביעתא "לחולה"
13nl 2ds 960gp 10sm	ולא אישתכח٠ אמרי٠ ניתבוה ניהלן
23nl 2ds 960gp 10sm	לפלגא٠ לפלגא מרקיעא לא יהבי٠ כחלונהי לעיניה٠
33nl 2ds 960gp 10sm	אהני דלא מיגרי בקריבתיה٠
43nl 2ds 960gp 10sm	במערבא אמרי٠
53nl 2ds 960gp 10sm	והא דרב מתנה נטיא לדר׳ יהושע בן לוי٠
24nl 2ds 960gp 10sm	ואינהו היכי סמכי אנפשיהו ועקרי מילתא דאמרה משה٠
44nl 2ds 960gp 10sm	והא קא מדלג٠
74nl 2ds 960gp 10sm	קתני מכלל "דבתורה" כלל כלל לא٠
50nl 1ds 070gp 10sm	וניכרכיה לסיפרא להתם וניקרי٠
70nl 1ds 070gp 10sm	וניתקין ספרא
80nl 1ds 070gp 10sm	אחרינא וניקרי٠
01nl 1ds 070gp 10sm	ומי חישינן
11nl 1ds 070gp 10sm	לפגמא٠
51nl 1ds 070gp 10sm	תלתה גברי בתלתה סיפרי ליכא פגמא٠ חד
61nl 1ds 070gp 10sm	גברא בתרי סיפרי איכא פגמא٠
04nl 1ds 070gp 10sm	ותו לא٠
24nl 1ds 070gp 10sm	ותו לר׳ אליעזר٠ "פר העולה ٠٠٠" דשיירינהו היכא עביד להו٠ ותו בין למר ובין למר "איסורי חטאת" היכא מקטר להו٠
34nl 1ds 070gp 10sm	לא משכחת לה מתרצתא אלא ר׳ אליעזר דבי
44nl 1ds 070gp 10sm	שמואל ור׳ עקיבא בתוספתא٠
50nl 2ds 070gp 10sm	הני מילי ֗ה֗יכא דליכא "עבדת היום٠ אבל" היכא דאיכא "עבודת היום"٠ ברישא עביד
60nl 2ds 070gp 10sm	"דתורת כהנים" והדר "דחומש הפקודים"٠
70nl 2ds 070gp 10sm	"אילו ואיל העם" ניעבדינהו מצפרא٠ עביד "עולתו ٠٠٠ שעיר הנעשה בחוץ" ניעבדיה מצפרא٠ ור׳ אליעזר האי
01nl 2ds 070gp 10sm	"מלבד חטאת הכפורים" מאי עביד ליה٠
11nl 2ds 070gp 10sm	מיבעי לי "על מה שזה מכפר זה מכפר"٠
61nl 2ds 070gp 10sm	מאי טעמיהו דרבנן٠
81nl 2ds 070gp 10sm	עביד מיניהו הכא ומיניהו הכא٠
91nl 2ds 070gp 10sm	במאי קא מיפלגי٠ משום
12nl 2ds 070gp 10sm	חולשא "דכהן גדול" קא מיפלגי٠ ר׳ יהודה סבר٠ עביד חד והדר עביד "עבודת היום" דחישינן דילמא חלוש٠
22nl 2ds 070gp 10sm	ור׳ אלעזר בר׳ שמעון סבר٠
32nl 2ds 070gp 10sm	כיון דאתחיל עביד רובא "ולעבודת היום זריז" הוא٠
42nl 2ds 070gp 10sm	דכלי עלמא מיחת חד "איל" הוא٠
50nl 1ds 170gp 10sm	לא משכחת לה אלא "שלש טבילות וששה קדושין"٠
60nl 1ds 170gp 10sm	מתקיף לה רב זירא٠ אימא
70nl 1ds 170gp 10sm	דמפסיק להו "בשעיר הנעשה בחוץ"٠
41nl 1ds 170gp 10sm	אימא דמפסיק להו "בשעיר הנעשה בחוץ"٠ רבא נמי אית ליה דאביי٠
61nl 1ds 170gp 10sm	והא קראי כתיבי
91nl 1ds 170gp 10sm	ואלו "אימורי חטאת" בתר הכי מקטר להו٠ אימא "מפסוק זה ואילך"٠
02nl 1ds 170gp 10sm	ומאי חזית דמשבשת קראי٠ שביש מתניתין٠
12nl 1ds 170gp 10sm	"מה המשלח" מעיקרא "אף השורף" מעיקרא٠ אימא "מה שורף" לבסוף٠
22nl 1ds 170gp 10sm	"אף משלח" לבסוף٠ "המשלח" מעיקרא משמע٠
42nl 1ds 170gp 10sm	ותו לא٠
52nl 1ds 170gp 10sm	"מחי" "חיים" ٠٠٠ כי הוה
62nl 1ds 170gp 10sm	מיפטרי רבנן מהדדי בפומבדיתא אמרי הכי٠ "מחי חיים הוא יתן לך חיים ארוכין"
72nl 1ds 170gp 10sm	טבין ותקנין٠ כי מיפטרי רבנן מהדדי בשכנציב אמרי הכי٠ "מחי חיים הוא יתן לך חיים ארוכין" טבין ותקנין٠
30nl 2ds 170gp 10sm	ההוא "כהן גדול" דנפק הוו קא מלוו
40nl 2ds 170gp 10sm	כולי עלמא בהדיה٠ חזונהו
50nl 2ds 170gp 10sm	לשמעיה ואבטליון٠ שבקוה ואזול
60nl 2ds 170gp 10sm	בתריהו٠ אתו קא יהבו ליה שלמא٠ אמ׳
80nl 2ds 170gp 10sm	להו٠ ייתון לשלם בני עממין٠ אמרי ליה٠ ייתון
90nl 2ds 170gp 10sm	בני עממין לשלם דעבדין עובדא דאהרן٠
01nl 2ds 170gp 10sm	ולא ייתי בר אהרן לשלם דלא עביד עובדא דאהרן٠
02nl 2ds 170gp 10sm	שיתא קראי הוו٠
62nl 2ds 170gp 10sm	"ושש" מנא לן
72nl 2ds 170gp 10sm	דכיתנא הוא٠ דכת׳ "בד"٠
92nl 2ds 170gp 10sm	אימא עמרא٠ מבציל٠
03nl 2ds 170gp 10sm	כיתנא נמי מבציל٠
13nl 2ds 170gp 10sm	אגב לקות׳ הוא דמבציל٠
33nl 2ds 170gp 10sm	והא מקמי
43nl 2ds 170gp 10sm	דניתי יחזקאל מנא לן٠ ולטעמיך٠
93nl 2ds 170gp 10sm	אלא גמרא גמרי לה٠ ואתא
04nl 2ds 170gp 10sm	יחזקאל אסמכה אקרא٠ הכא נמי גמרא גמירי
14nl 2ds 170gp 10sm	לה٠ ואתא יחזקאל ואסמכה אקרא٠
44nl 2ds 170gp 10sm	ויליף "משזר ٠٠٠" מה התם
54nl 2ds 170gp 10sm	ארבעה דשיתא שיתא הא עשרין וארבעה הכא נמי תלתה דתמניא תמניא הא עשרין וארבעה٠
35nl 2ds 170gp 10sm	מעיט רחמנא גבי "חשן ואפוד"٠ רב אשי א׳٠ משום דלא איפשר٠
45nl 2ds 170gp 10sm	היכי נעביד٠ נעבדינהו דעשרה עשרה נפישו להו٠ נעביד תרי דתשעה תשעה וחד דעשרה٠ "ועשית" אמ׳ רחמנא ٠٠٠ לא איפשר٠
20nl 1ds 270gp 10sm	מה התם שיתא٠ "אף" הכא נמי שיתא٠ וכת׳ "כליל" דהוו להו תריסר٠ ויליף "תכלת" "תכלת"٠ ונילף "משוליו"٠
21nl 1ds 270gp 10sm	ארבעה דשיתא שיתא הא עשרין
31nl 1ds 270gp 10sm	וארבעה٠ "זהב" ארבעה דהוו להו עשרין ותמניא٠
41nl 1ds 270gp 10sm	ואימא "זהב" נמי שיתא٠
81nl 1ds 270gp 10sm	היכי נעביד٠ נעבדינהו דתרי תרי נפישי להו٠
91nl 1ds 270gp 10sm	נעביד תרי דתרי תרי ותרי דחד חד٠ "לעשות" אמ׳ רחמנא ٠٠٠ "הילכך" לא אפשר٠
62nl 1ds 270gp 10sm	דילמא הכי קאמ׳ רחמנא٠ ניחדקינהו٠
43nl 2ds 270gp 10sm	מכריז
53nl 2ds 270gp 10sm	ר׳ ינאי٠ חבל על דלית לי֗ה֗ דירתא ותרעא
63nl 2ds 270gp 10sm	לדירתא עביד٠ אמ׳ להו רבא לרבנן٠ במטותא
73nl 2ds 270gp 10sm	מיניכו٠ לא תירתון תרתי גיהנם٠
04nl 2ds 270gp 10sm	והינו דאמ׳ רבא٠ דאומן לה סמא דחיי٠
14nl 2ds 270gp 10sm	דלא אומן לה סמא דמיתותא٠
34nl 2ds 270gp 10sm	מגופיה דקרא٠
54nl 2ds 270gp 10sm	במתניתא
64nl 2ds 270gp 10sm	תנא משום ר׳ נחמיה٠
05nl 2ds 270gp 10sm	ואמרי לה כדי
30nl 1ds 370gp 10sm	ואם איתה האי נמי "בא אל אהל מועד" הוא٠
80nl 1ds 370gp 10sm	אי הכי "זר"
90nl 1ds 370gp 10sm	משוית ליה٠ כי תניא ההיא משום "איבה"٠
21nl 1ds 370gp 10sm	והאי תנא דלא חייש "לאיבה"٠ וקתני דלא משמש٠
62nl 1ds 370gp 10sm	כי לא הויא ליה "איבה" בהדי דכותיה٠ בהדי דזוטר מיניה הויא ליה "איבה"٠ יתיב
72nl 1ds 370gp 10sm	ר׳ אבהו וקאמ׳ לה להא שמעתא משמא דר׳ יוחנן٠ אהדרונהו ר׳
82nl 1ds 370gp 10sm	אמי ור׳ אסי לאפיהו٠ איכא דאמרי٠ ר׳ חייא בר אבא אמרה ואהדרונהו
92nl 1ds 370gp 10sm	ר׳ אמי ור׳ אסי לאפיהו٠ בשלמא ר׳ אבהו משום
03nl 1ds 370gp 10sm	יקרא דבי קיסר٠ אלא ר׳ חייא בר אבא נימרו ליה מימר٠ ר׳
13nl 1ds 370gp 10sm	יוחנן לא אמ׳ הכי٠ כי אתא רבין אמ׳٠ "נשאל"٠ איתמר٠ תניא נמי הכי٠
41nl 2ds 370gp 10sm	והא לא כת׳ צדי٠
51nl 2ds 370gp 10sm	והא לא כת׳ טית٠
91nl 2ds 370gp 10sm	דהוה מסייע סיועי בהדיהו٠
33nl 2ds 370gp 10sm	אלא "מעתה" לא תיחול עליה "שבועה"٠ אלמא תנן ٠٠٠
53nl 2ds 370gp 10sm	והוינן בה٠
73nl 2ds 370gp 10sm	ואליבא דרבנן٠
20nl 1ds 470gp 10sm	וכי{{ון}}^ת^ימא٠ כיון דאית ליה "היתר"
30nl 1ds 470gp 10sm	מדאוריתא חילא עליה "שבועה"٠ ומי חילא٠
50nl 1ds 470gp 10sm	והוינן בה٠ למעוטי מאי٠
60nl 1ds 470gp 10sm	רב פפא אמ׳٠ למעוטי "מלך"٠ רב אחא בר
70nl 1ds 470gp 10sm	יעקב אמ׳٠ למעוטי "משחק" "בקוביא"٠
80nl 1ds 470gp 10sm	"והא משחק בקוביא" דמדאוריתא מחזא חזי٠ ורבנן
90nl 1ds 470gp 10sm	הוא דגזרו ביה٠ ולא קא חילא עליה "שבועה"٠
01nl 1ds 470gp 10sm	שני התם ٠٠٠ "בהגדה" תלא רחמנא٠ והאי
11nl 1ds 470gp 10sm	לאו בר "הגדה" הוא٠ דהא כי אמ׳ נמי לא משגחינן ביה٠ הכא "כזית ٠٠٠" הוא٠ וכי קא מיתי "קרבן על פחות מכזית"٠ וכל
21nl 1ds 470gp 10sm	"דענוש כרת" לא תני "אסור"٠
91nl 1ds 470gp 10sm	ואיבעית אימא٠ כי קתני "אסור" אשארא٠
22nl 1ds 470gp 10sm	גופה
52nl 1ds 470gp 10sm	כיון דחזי לאיצטרופי
62nl 1ds 470gp 10sm	אסיר٠
13nl 1ds 470gp 10sm	וקרא אסמכתא בעלמא٠ הכי
23nl 1ds 470gp 10sm	נמי מסתברא٠ מדקתני "כוי٠ וכוי" ספיקא הוא٠ דאי סלקא דעתא דאוריתא٠
33nl 1ds 470gp 10sm	איצטריך קרא לרבויי
43nl 1ds 470gp 10sm	ספיקא٠ אי משום הא לא איריא٠ קסבר "כוי בריא בפני עצמה"
10nl 2ds 470gp 10sm	הוא٠ דאי לא תימא
20nl 2ds 470gp 10sm	הכי٠ הא דאמ׳ רב אידי בר אבין "כל ٠٠٠"
30nl 2ds 470gp 10sm	איצ<ט>ריך קרא
40nl 2ds 470gp 10sm	לרבויי ספיקא٠
90nl 2ds 470gp 10sm	ואימא٠ היכא דיתיב
01nl 2ds 470gp 10sm	בשימשא וקא מצטער לא ניקו ניתיב
11nl 2ds 470gp 10sm	בטולא٠ בטולא וקא מצטער לא
21nl 2ds 470gp 10sm	ניקו ניתיב בשימשא "דשב ואל תעשה" הוא٠ דומיא "דמלאכה"٠
43nl 2ds 470gp 10sm	וכי תימא "בעריות" קא משתעי קרא٠
83nl 2ds 470gp 10sm	ונילף מן "וירא את ענינו"٠
14nl 2ds 470gp 10sm	מאי קראה٠
44nl 2ds 470gp 10sm	"ה{{ו}}^י^לכך" האי מאן דאית ליה סעודתא ניכלה
54nl 2ds 470gp 10sm	ביממא٠
91nl 1ds 570gp 10sm	לישנא מעליא הוא٠
02nl 1ds 570gp 10sm	מאי "חנם"٠ דהוו מייתו דהפקירא٠
22nl 1ds 570gp 10sm	בשלמא למאן דאמ׳ "דגים٠ אבל עריות" לא פרצי בהו٠ הינו דקא משתבח קרא٠ "גן נעול אחתי כלה גל נעול מעין חתום"٠ אלא למאן דאמ׳٠
32nl 1ds 570gp 10sm	פרצו בהי "עריות"٠ מאי קא משתבח בהו קרא٠ בהנך דהוה אסירן לבני נח לא פרצי בהי٠
52nl 1ds 570gp 10sm	הא והא הואי٠
30nl 2ds 570gp 10sm	האי מאן דאית
40nl 2ds 570gp 10sm	ליה סעודתא ניכלה ביממא٠
22nl 2ds 570gp 10sm	מעליא דכולהו "שיכל׳" גריעא דכולהו "סלו" כציפרתא הוי٠ ומותבי ליה בתנורא וראבו־
32nl 2ds 570gp 10sm	להוי מלי תנורא٠ ומסקי ליה אתליסר ריפי٠ וההיא תתיתא דכולהי לא מיתכלא אלא "על ידי תערובת"٠ רב יהודה משתכח ליה בי דני
42nl 2ds 570gp 10sm	רב חסדא משתכח ליה בי ציבי٠ רבה מיתי ליה צי{{ר}}<ד>א מאגמא٠ יומא חד נפק לא אשכח לאיתויי ליה٠ אמ׳٠ איפוק איחזי מאי שמענא٠ סליק
52nl 2ds 570gp 10sm	לאיגרא٠ שמעיה לינוקא דקאמ׳٠ "שמעתי ותרגז בטני לקול צללו שפתי"٠ אמ׳٠ שמע מינה٠ נח נפשיה דרב חסדא٠ ובשביל רבה אכיל
62nl 2ds 570gp 10sm	תלמידא٠
82nl 2ds 570gp 10sm	"מחוספס" טפי הוו٠
53nl 2ds 570gp 10sm	לדידי חזי לי ההוא אתרא٠
63nl 2ds 570gp 10sm	והוי תלתא פרסי٠
72nl 1ds 670gp 10sm	וכי מיא שורי
82nl 1ds 670gp 10sm	שורי קום٠ "תיבה" היכי סגאי٠ אלא "נבקעו כל מעינות תהום רבה" עד דתקלו מיא٠ וקמו בהדי
03nl 1ds 670gp 10sm	טורי٠ והדר "וארבות ٠٠٠"٠
93nl 1ds 670gp 10sm	שמע מינה٠ כסיה דדוד מלכא לעלמא דאתי מאתן ועשרין וחד
04nl 1ds 670gp 10sm	לוגא הוי٠ מי דמי٠ התם חדא שעתא٠ הכא ארבעין יומי٠ ה{{כ}}^ת^ם
14nl 1ds 670gp 10sm	לכולי עלמ׳٠ הכא לתלתה פרסי٠ ואכתי לא דמי٠ דכי חשבת ליה "למן" טובא הוי٠ אלא ר׳ אלעזר "פתיחא פתיחא" גמיר٠
34nl 1ds 670gp 10sm	קראי חמשה הוו٠ ואנן שיתא קרינן٠
44nl 1ds 670gp 10sm	"תירוש" חמרא הוא٠ וקא קרי ליה קרא "ואכלת"٠
54nl 1ds 670gp 10sm	"אניגרון" מיא דסילקא٠ "אכסיגרון" מיא
64nl 1ds 670gp 10sm	דכולהו שלקי٠ "ויין" חמרא הוא٠ וקא קרי ליה קרא٠ "ואכלת"٠
84nl 1ds 670gp 10sm	"שכר כת׳" מידי דמשכר٠
20nl 2ds 670gp 10sm	"ותירוש" חמרא הוא٠
40nl 2ds 670gp 10sm	ולאו חמרא הוא٠
01nl 2ds 670gp 10sm	קרי ליה הכי וקרי ליה הכי٠ מאי קרי ליה "יין"٠
11nl 2ds 670gp 10sm	ומאי קרי ליה "תירוש"٠
71nl 2ds 670gp 10sm	חמרא וריחני פקחין٠
